,userId,recommendations
0,471,"[Row(movieId=3379, rating=5.094435691833496), Row(movieId=971, rating=4.908408164978027), Row(movieId=898, rating=4.820383548736572), Row(movieId=27156, rating=4.806052207946777), Row(movieId=1178, rating=4.764763832092285), Row(movieId=65642, rating=4.718989849090576), Row(movieId=6442, rating=4.714573860168457), Row(movieId=177593, rating=4.7131218910217285), Row(movieId=951, rating=4.698095321655273), Row(movieId=3201, rating=4.697725772857666)]"
1,463,"[Row(movieId=7842, rating=4.950311183929443), Row(movieId=47423, rating=4.783776760101318), Row(movieId=60943, rating=4.755263328552246), Row(movieId=59018, rating=4.755263328552246), Row(movieId=104780, rating=4.712928295135498), Row(movieId=142020, rating=4.712928295135498), Row(movieId=147330, rating=4.712928295135498), Row(movieId=126430, rating=4.712928295135498), Row(movieId=130970, rating=4.712928295135498), Row(movieId=147250, rating=4.712928295135498)]"
2,496,"[Row(movieId=1354, rating=5.247455596923828), Row(movieId=3134, rating=5.054839611053467), Row(movieId=213, rating=4.912997245788574), Row(movieId=3265, rating=4.907001972198486), Row(movieId=4956, rating=4.901801109313965), Row(movieId=6666, rating=4.89882755279541), Row(movieId=33649, rating=4.843048572540283), Row(movieId=59018, rating=4.827804088592529), Row(movieId=60943, rating=4.827804088592529), Row(movieId=4794, rating=4.766441345214844)]"
3,148,"[Row(movieId=98491, rating=4.552439212799072), Row(movieId=67618, rating=4.534326076507568), Row(movieId=7842, rating=4.510529518127441), Row(movieId=3819, rating=4.4740424156188965), Row(movieId=183897, rating=4.391883850097656), Row(movieId=7071, rating=4.347487449645996), Row(movieId=179135, rating=4.347487449645996), Row(movieId=134796, rating=4.347487449645996), Row(movieId=26073, rating=4.347487449645996), Row(movieId=117531, rating=4.347487449645996)]"
4,540,"[Row(movieId=33649, rating=5.2916693687438965), Row(movieId=59814, rating=5.24877405166626), Row(movieId=6666, rating=5.135404586791992), Row(movieId=5915, rating=5.109373569488525), Row(movieId=171495, rating=5.102212905883789), Row(movieId=170705, rating=5.0896782875061035), Row(movieId=945, rating=5.082291126251221), Row(movieId=117531, rating=5.052779197692871), Row(movieId=179135, rating=5.052779197692871), Row(movieId=26073, rating=5.052779197692871)]"
5,392,"[Row(movieId=92643, rating=5.2599568367004395), Row(movieId=66943, rating=5.228471755981445), Row(movieId=2936, rating=5.215400695800781), Row(movieId=171763, rating=5.108847618103027), Row(movieId=5222, rating=5.091399192810059), Row(movieId=86347, rating=5.085456371307373), Row(movieId=143031, rating=5.065829277038574), Row(movieId=136341, rating=5.065829277038574), Row(movieId=149350, rating=5.065829277038574), Row(movieId=118270, rating=5.065829277038574)]"
6,243,"[Row(movieId=6818, rating=5.8658647537231445), Row(movieId=55721, rating=5.8523478507995605), Row(movieId=7018, rating=5.797952175140381), Row(movieId=30803, rating=5.747653007507324), Row(movieId=158872, rating=5.674151420593262), Row(movieId=9010, rating=5.66494607925415), Row(movieId=67695, rating=5.662997245788574), Row(movieId=55280, rating=5.638737201690674), Row(movieId=85342, rating=5.623832702636719), Row(movieId=67618, rating=5.525687217712402)]"
7,31,"[Row(movieId=1046, rating=5.071466445922852), Row(movieId=2303, rating=5.056268215179443), Row(movieId=25947, rating=4.980051040649414), Row(movieId=26326, rating=4.980051040649414), Row(movieId=82, rating=4.9767608642578125), Row(movieId=1223, rating=4.877115249633789), Row(movieId=8235, rating=4.870388984680176), Row(movieId=4495, rating=4.870388984680176), Row(movieId=3814, rating=4.864531517028809), Row(movieId=26528, rating=4.802206993103027)]"
8,516,"[Row(movieId=5034, rating=4.973674774169922), Row(movieId=8235, rating=4.921170711517334), Row(movieId=4495, rating=4.921170711517334), Row(movieId=1223, rating=4.822762966156006), Row(movieId=4429, rating=4.781006813049316), Row(movieId=3494, rating=4.780691146850586), Row(movieId=2295, rating=4.758754730224609), Row(movieId=4160, rating=4.650049209594727), Row(movieId=670, rating=4.650049209594727), Row(movieId=102217, rating=4.627439022064209)]"
9,580,"[Row(movieId=106100, rating=5.127111434936523), Row(movieId=51931, rating=5.0120015144348145), Row(movieId=100714, rating=4.955082893371582), Row(movieId=47423, rating=4.903552532196045), Row(movieId=5992, rating=4.889545917510986), Row(movieId=26133, rating=4.858032703399658), Row(movieId=6300, rating=4.8566083908081055), Row(movieId=171495, rating=4.8271331787109375), Row(movieId=56715, rating=4.796377658843994), Row(movieId=3379, rating=4.78450870513916)]"
10,251,"[Row(movieId=3083, rating=5.509737014770508), Row(movieId=4956, rating=5.47218656539917), Row(movieId=26810, rating=5.420722007751465), Row(movieId=2905, rating=5.417821884155273), Row(movieId=6460, rating=5.390603065490723), Row(movieId=8405, rating=5.389654636383057), Row(movieId=7767, rating=5.365719795227051), Row(movieId=27397, rating=5.33609676361084), Row(movieId=7587, rating=5.321394443511963), Row(movieId=6533, rating=5.311300754547119)]"
11,451,"[Row(movieId=7767, rating=5.2552571296691895), Row(movieId=3083, rating=5.203888893127441), Row(movieId=26810, rating=5.178819179534912), Row(movieId=3379, rating=5.1716814041137695), Row(movieId=3022, rating=5.166663646697998), Row(movieId=4956, rating=5.15424919128418), Row(movieId=2905, rating=5.154054641723633), Row(movieId=3451, rating=5.153601169586182), Row(movieId=3328, rating=5.118439674377441), Row(movieId=6460, rating=5.116340160369873)]"
12,85,"[Row(movieId=27563, rating=5.186287879943848), Row(movieId=720, rating=5.141618251800537), Row(movieId=2936, rating=5.028174877166748), Row(movieId=2926, rating=4.976539611816406), Row(movieId=1140, rating=4.961991786956787), Row(movieId=53, rating=4.93626594543457), Row(movieId=85774, rating=4.918458938598633), Row(movieId=5291, rating=4.9001593589782715), Row(movieId=322, rating=4.8874030113220215), Row(movieId=4642, rating=4.8852338790893555)]"
